X1,X2,X3,X4,X5,X6
nnet,Accuracy,Kappa,Sensitivity,Specificity,AUC
FEng_cDP_int,0.951076320939335,-0.00377150938948627,0,0.997946611909651,0.498973305954825
FEng_cDP_num,0.950097847358121,-0.0089040300414227,0,0.994877049180328,0.497438524590164
FEng_int,0.952426260704091,0,0,1,0.5
FEng_num,0.959700093720712,0,0,1,0.5
Oversampled_FEng_binned_cDP_int,0.782778864970646,0.140226156551264,0.604166666666667,0.791581108829569,0.697873887748118
Oversampled_FEng_binned_cDP_num,0.801369863013699,0.159927438229363,0.630434782608696,0.809426229508197,0.719930506058446
Oversampled_FEng_binned_int,0.80209324452902,0.139887158583895,0.54,0.815184815184815,0.677592407592408
Oversampled_FEng_binned_num,0.829428303655108,0.160387392451035,0.581395348837209,0.83984375,0.710619549418605
Oversampled_FEng_cDP_int,0.932485322896282,0.206539595382227,0.229166666666667,0.967145790554415,0.598156228610541
Oversampled_FEng_cDP_num,0.938356164383562,0.151050868911686,0.152173913043478,0.975409836065574,0.563791874554526
Oversampled_FEng_int,0.937202664129401,0.123923312031121,0.12,0.978021978021978,0.549010989010989
Oversampled_FEng_num,0.764761012183693,0.15939158628872,0.813953488372093,0.7626953125,0.788324400436047
